index,overall,nationality,value_eur,fifa_jaar,soort
37,87,Brazil,90500000,2022,Overall
215,82,Brazil,25000000,2022,Overall
100,84,Brazil,21000000,2022,Overall
211,82,Brazil,16000000,2022,Overall
201,82,Brazil,30000000,2022,Overall
19,89,Brazil,82000000,2022,Overall
226,82,Brazil,35500000,2022,Overall
156,83,Brazil,30500000,2022,Overall
116,84,Brazil,27500000,2022,Overall
182,83,Brazil,52500000,2022,Overall
181,83,Brazil,47000000,2022,Overall
180,83,Brazil,35500000,2022,Overall
136,83,Brazil,7000000,2022,Overall
17,89,Brazil,94000000,2022,Overall
225,82,Brazil,27500000,2022,Overall
82,85,Brazil,54000000,2022,Overall
69,85,Brazil,9500000,2022,Overall
59,86,Brazil,73500000,2022,Overall
3,91,Brazil,129000000,2022,Overall
58,86,England,33000000,2022,Overall
43,87,England,116500000,2022,Overall
91,85,England,77500000,2022,Overall
40,87,England,83500000,2022,Overall
161,83,England,41000000,2022,Overall
25,88,England,107500000,2022,Overall
184,83,England,58500000,2022,Overall
231,82,England,41500000,2022,Overall
240,82,England,40500000,2022,Overall
179,83,England,48500000,2022,Overall
194,82,England,25000000,2022,Overall
135,84,England,94500000,2022,Overall
99,84,England,29500000,2022,Overall
111,84,England,42500000,2022,Overall
42,87,England,114000000,2022,Overall
164,83,England,33000000,2022,Overall
114,84,England,50500000,2022,Overall
101,84,England,36500000,2022,Overall
236,82,England,43500000,2022,Overall
9,90,England,129500000,2022,Overall
162,83,England,25000000,2022,Overall
113,84,England,48500000,2022,Overall
78,85,England,39000000,2022,Overall
216,82,France,29500000,2022,Overall
127,84,France,45000000,2022,Overall
80,85,France,53000000,2022,Overall
169,83,France,48000000,2022,Overall
133,84,France,62500000,2022,Overall
123,84,France,49500000,2022,Overall
188,83,France,53000000,2022,Overall
205,82,France,26000000,2022,Overall
10,90,France,100000000,2022,Overall
207,82,France,30000000,2022,Overall
177,83,France,45500000,2022,Overall
183,83,France,55000000,2022,Overall
62,86,France,81000000,2022,Overall
6,91,France,194000000,2022,Overall
178,83,France,43500000,2022,Overall
55,86,France,68500000,2022,Overall
108,84,France,40500000,2022,Overall
230,82,France,37500000,2022,Overall
107,84,France,41500000,2022,Overall
35,87,France,79500000,2022,Overall
174,83,France,44500000,2022,Overall
29,87,France,13500000,2022,Overall
11,89,France,66000000,2022,Overall
77,85,Germany,43000000,2022,Overall
176,83,Germany,36000000,2022,Overall
128,84,Germany,56000000,2022,Overall
23,88,Germany,75000000,2022,Overall
165,83,Germany,34500000,2022,Overall
18,89,Germany,108000000,2022,Overall
33,87,Germany,66000000,2022,Overall
38,87,Germany,93000000,2022,Overall
7,90,Germany,13500000,2022,Overall
210,82,Germany,16000000,2022,Overall
150,83,Germany,28000000,2022,Overall
8,90,Germany,99000000,2022,Overall
86,85,Germany,64500000,2022,Overall
115,84,Germany,42500000,2022,Overall
204,82,Germany,30000000,2022,Overall
122,84,Germany,56500000,2022,Overall
134,84,Germany,94500000,2022,Overall
47,86,Germany,44000000,2022,Overall
200,82,Germany,20500000,2022,Overall
157,83,Germany,37000000,2022,Overall
198,82,Germany,24000000,2022,Overall
142,83,Germany,23500000,2022,Overall
76,85,Germany,51500000,2022,Overall
20,89,Italy,119500000,2022,Overall
186,83,Italy,80500000,2022,Overall
295,81,Italy,38000000,2022,Overall
278,81,Italy,30000000,2022,Overall
273,81,Italy,23500000,2022,Overall
34,87,Italy,67500000,2022,Overall
221,82,Italy,31500000,2022,Overall
286,81,Italy,27500000,2022,Overall
155,83,Italy,17500000,2022,Overall
129,84,Italy,63500000,2022,Overall
45,86,Italy,12000000,2022,Overall
222,82,Italy,33500000,2022,Overall
269,81,Italy,22000000,2022,Overall
85,85,Italy,52500000,2022,Overall
53,86,Italy,65500000,2022,Overall
74,85,Italy,17500000,2022,Overall
251,81,Italy,4400000,2022,Overall
232,82,Italy,42000000,2022,Overall
36,87,Italy,79500000,2022,Overall
297,81,Italy,25000000,2022,Overall
224,82,Italy,35000000,2022,Overall
192,82,Italy,5000000,2022,Overall
160,83,Italy,33000000,2022,Overall
287,81,Netherlands,25000000,2022,Overall
289,81,Netherlands,38500000,2022,Overall
203,82,Netherlands,21000000,2022,Overall
265,81,Netherlands,13000000,2022,Overall
219,82,Netherlands,25500000,2022,Overall
339,80,Netherlands,33000000,2022,Overall
175,83,Netherlands,37000000,2022,Overall
41,87,Netherlands,119500000,2022,Overall
333,80,Netherlands,30000000,2022,Overall
83,85,Netherlands,63000000,2022,Overall
324,80,Netherlands,20500000,2022,Overall
81,85,Netherlands,45000000,2022,Overall
353,79,Netherlands,17000000,2022,Overall
266,81,Netherlands,25500000,2022,Overall
242,82,Netherlands,35000000,2022,Overall
401,79,Netherlands,28000000,2022,Overall
15,89,Netherlands,86000000,2022,Overall
402,79,Netherlands,25500000,2022,Overall
396,79,Netherlands,25000000,2022,Overall
98,84,Netherlands,40500000,2022,Overall
93,85,Netherlands,75000000,2022,Overall
400,79,Netherlands,24500000,2022,Overall
366,79,Netherlands,17500000,2022,Overall
263,81,Portugal,21000000,2022,Overall
63,86,Portugal,80000000,2022,Overall
249,81,Portugal,12000000,2022,Overall
60,86,Portugal,71500000,2022,Overall
190,82,Portugal,5500000,2022,Overall
253,81,Portugal,4600000,2022,Overall
44,87,Portugal,102500000,2022,Overall
195,82,Portugal,10000000,2022,Overall
267,81,Portugal,22000000,2022,Overall
189,83,Portugal,82000000,2022,Overall
214,82,Portugal,23000000,2022,Overall
228,82,Portugal,30500000,2022,Overall
281,81,Portugal,30500000,2022,Overall
120,84,Portugal,40500000,2022,Overall
279,81,Portugal,25500000,2022,Overall
26,88,Portugal,107500000,2022,Overall
238,82,Portugal,41000000,2022,Overall
291,81,Portugal,39000000,2022,Overall
121,84,Portugal,40500000,2022,Overall
234,82,Portugal,46000000,2022,Overall
131,84,Portugal,51000000,2022,Overall
2,91,Portugal,45000000,2022,Overall
235,82,Portugal,46000000,2022,Overall
147,83,Spain,34500000,2022,Overall
158,83,Spain,37000000,2022,Overall
89,85,Spain,77500000,2022,Overall
65,86,Spain,81000000,2022,Overall
21,88,Spain,24000000,2022,Overall
64,86,Spain,88000000,2022,Overall
70,85,Spain,22000000,2022,Overall
146,83,Spain,36500000,2022,Overall
79,85,Spain,52500000,2022,Overall
61,86,Spain,77000000,2022,Overall
105,84,Spain,42500000,2022,Overall
48,86,Spain,47000000,2022,Overall
49,86,Spain,65000000,2022,Overall
144,83,Spain,25000000,2022,Overall
51,86,Spain,53500000,2022,Overall
84,85,Spain,47500000,2022,Overall
103,84,Spain,28000000,2022,Overall
50,86,Spain,45000000,2022,Overall
102,84,Spain,27000000,2022,Overall
57,86,Spain,68000000,2022,Overall
96,84,Spain,13500000,2022,Overall
95,84,Spain,13000000,2022,Overall
139,83,Spain,18000000,2022,Overall
