index,overall,nationality,value_eur,fifa_jaar,soort,bestfit
197,80,Italy,1200000,2015,Overall,8827732.29048068
237,80,Italy,13000000,2015,Overall,8827732.29048068
299,79,Italy,7500000,2015,Overall,5352920.276223963
249,79,Italy,2500000,2015,Overall,5352920.276223963
307,79,Italy,8000000,2015,Overall,5352920.276223963
169,81,Italy,10500000,2015,Overall,12302544.304737398
200,80,Italy,10000000,2015,Overall,8827732.29048068
235,80,Italy,9500000,2015,Overall,8827732.29048068
244,80,Italy,9500000,2015,Overall,8827732.29048068
264,79,Italy,7000000,2015,Overall,5352920.276223963
258,79,Italy,7000000,2015,Overall,5352920.276223963
309,79,Netherlands,7000000,2015,Overall,5352920.276223963
50,84,Netherlands,21000000,2015,Overall,22726980.34750755
2,90,Netherlands,54500000,2015,Overall,43575852.43304786
284,79,Netherlands,8000000,2015,Overall,5352920.276223963
158,81,Netherlands,10000000,2015,Overall,12302544.304737398
53,84,Netherlands,21000000,2015,Overall,22726980.34750755
314,79,Netherlands,7500000,2015,Overall,5352920.276223963
434,76,Netherlands,3600000,2015,Overall,-5071515.766546192
281,79,Netherlands,6000000,2015,Overall,5352920.276223963
392,77,Netherlands,5000000,2015,Overall,-1596703.7522894735
159,81,Netherlands,8500000,2015,Overall,12302544.304737398
375,77,Netherlands,4700000,2015,Overall,-1596703.7522894735
261,79,Netherlands,7500000,2015,Overall,5352920.276223963
191,81,Netherlands,12000000,2015,Overall,12302544.304737398
366,78,Netherlands,5500000,2015,Overall,1878108.2619672446
368,78,Netherlands,6500000,2015,Overall,1878108.2619672446
354,78,Netherlands,8000000,2015,Overall,1878108.2619672446
412,77,Netherlands,4500000,2015,Overall,-1596703.7522894735
7,88,Netherlands,40500000,2015,Overall,36626228.40453443
440,76,Netherlands,3800000,2015,Overall,-5071515.766546192
353,78,Netherlands,0,2015,Overall,1878108.2619672446
408,77,Netherlands,6500000,2015,Overall,-1596703.7522894735
403,77,Netherlands,5500000,2015,Overall,-1596703.7522894735
269,79,Portugal,6000000,2015,Overall,5352920.276223963
359,78,Portugal,8500000,2015,Overall,1878108.2619672446
223,80,Portugal,0,2015,Overall,8827732.29048068
376,77,Portugal,0,2015,Overall,-1596703.7522894735
164,81,Portugal,12000000,2015,Overall,12302544.304737398
222,80,Portugal,11500000,2015,Overall,8827732.29048068
1,92,Portugal,79000000,2015,Overall,50525476.4615613
286,79,Portugal,8000000,2015,Overall,5352920.276223963
319,78,Portugal,0,2015,Overall,1878108.2619672446
104,82,Portugal,13500000,2015,Overall,15777356.318994116
352,78,Portugal,7500000,2015,Overall,1878108.2619672446
273,79,Portugal,7500000,2015,Overall,5352920.276223963
339,78,Portugal,6500000,2015,Overall,1878108.2619672446
385,77,Portugal,4900000,2015,Overall,-1596703.7522894735
78,83,Portugal,16500000,2015,Overall,19252168.333250836
369,78,Portugal,5000000,2015,Overall,1878108.2619672446
315,79,Portugal,5500000,2015,Overall,5352920.276223963
186,81,Portugal,9000000,2015,Overall,12302544.304737398
68,83,Portugal,10000000,2015,Overall,19252168.333250836
344,78,Portugal,7000000,2015,Overall,1878108.2619672446
207,80,Portugal,6500000,2015,Overall,8827732.29048068
198,80,Portugal,6500000,2015,Overall,8827732.29048068
202,80,Portugal,10500000,2015,Overall,8827732.29048068
39,85,Spain,26500000,2015,Overall,26201792.36176427
75,83,Spain,13000000,2015,Overall,19252168.333250836
96,83,Spain,18000000,2015,Overall,19252168.333250836
74,83,Spain,15500000,2015,Overall,19252168.333250836
37,85,Spain,27000000,2015,Overall,26201792.36176427
72,83,Spain,17000000,2015,Overall,19252168.333250836
146,82,Spain,13500000,2015,Overall,15777356.318994116
100,83,Spain,15000000,2015,Overall,19252168.333250836
43,85,Spain,20000000,2015,Overall,26201792.36176427
117,82,Spain,14500000,2015,Overall,15777356.318994116
97,83,Spain,13500000,2015,Overall,19252168.333250836
36,85,Spain,21000000,2015,Overall,26201792.36176427
15,87,Spain,36500000,2015,Overall,33151416.390277706
154,81,Spain,10000000,2015,Overall,12302544.304737398
47,84,Spain,11500000,2015,Overall,22726980.34750755
111,82,Spain,13500000,2015,Overall,15777356.318994116
55,84,Spain,23000000,2015,Overall,22726980.34750755
13,87,Spain,31500000,2015,Overall,33151416.390277706
19,86,Spain,15500000,2015,Overall,29676604.37602099
5,89,Spain,36000000,2015,Overall,40101040.418791145
54,84,Spain,20500000,2015,Overall,22726980.34750755
45,84,Spain,16500000,2015,Overall,22726980.34750755
52,84,Spain,20000000,2015,Overall,22726980.34750755
